"STT","Folder","ID","Tay T (trai)/P (phai)/2 (ca 2 tay)"
"No. 1","train1","1377","T"
"No. 2","train1","1378","T"
"No. 3","train1","1379","T"
"No. 4","train1","1380","T"
"No. 5","train1","1381","T"
"No. 6","train1","1382","T"
"No. 7","train1","1383","T"
"No. 8","train1","1384","T"
"No. 9","train1","1385","P"
"No. 10","train1","1387","T"
"No. 11","train1","1388","T"
"No. 12","train1","1389","T"
"No. 13","train1","1390","T"
"No. 14","train1","1391","T"
"No. 15","train1","1393","T"
"No. 16","train1","1394","T"
"No. 17","train1","1395","T"
"No. 18","train1","1396","T"
"No. 19","train1","1398","P"
"No. 20","train1","1399","T"
"No. 21","train1","1400","T"
"No. 22","train1","1402","T"
"No. 23","train1","1403","T"
"No. 24","train1","1404","T"
"No. 25","train1","1405","P"
"No. 26","train1","1406","P"
"No. 27","train1","1407","T"
"No. 28","train1","1408","T"
"No. 29","train1","1409","T"
"No. 30","train1","1411","T"
"No. 31","train1","1412","T"
"No. 32","train1","1414","T"
"No. 33","train1","1415","P"
"No. 34","train1","1416","T"
"No. 35","train1","1417","T"
"No. 36","train1","1418","P"
"No. 37","train1","1419","T"
"No. 38","train1","1420","T"
"No. 39","train1","1422","T"
"No. 40","train1","1423","T"
"No. 41","train1","1424","T"
"No. 42","train1","1425","T"
"No. 43","train1","1426","T"
"No. 44","train1","1427","T"
"No. 45","train1","1428","T"
"No. 46","train1","1429","T"
"No. 47","train1","1430","2"
"No. 48","train1","1431","T"
"No. 49","train1","1432","P"
"No. 50","train1","1433","T"
"No. 51","train1","1434","T"
"No. 52","train1","1435","T"
"No. 53","train1","1436","T"
"No. 54","train1","1437","T"
"No. 55","train1","1438","T"
"No. 56","train1","1439","T"
"No. 57","train1","1440","T"
"No. 58","train1","1441","T"
"No. 59","train1","1442","T"
"No. 60","train1","1443","T"
"No. 61","train1","1444","P"
"No. 62","train1","1445","T"
"No. 63","train1","1446","P"
"No. 64","train1","1447","P"
"No. 65","train1","1448","P"
"No. 66","train1","1451","P"
"No. 67","train1","1452","T"
"No. 68","train1","1453","T"
"No. 69","train1","1454","T"
"No. 70","train1","1455","T"
"No. 71","train1","1457","T"
"No. 72","train1","1458","T"
"No. 73","train1","1459","P"
"No. 74","train1","1460","T"
"No. 75","train1","1461","T"
"No. 76","train1","1462","T"
"No. 77","train1","1463","T"
"No. 78","train1","1464","T"
"No. 79","train1","1466","T"
"No. 80","train1","1467","T"
"No. 81","train1","1468","T"
"No. 82","train1","1469","T"
"No. 83","train1","1470","T"
"No. 84","train1","1471","T"
"No. 85","train1","1472","T"
"No. 86","train1","1473","T"
"No. 87","train1","1474","T"
"No. 88","train1","1475","T"
"No. 89","train1","1476","T"
"No. 90","train1","1477","T"
"No. 91","train1","1478","T"
"No. 92","train1","1479","T"
"No. 93","train1","1480","T"
"No. 94","train1","1481","P"
"No. 95","train1","1482","T"
"No. 96","train1","1483","T"
"No. 97","train1","1484","T"
"No. 98","train1","1485","T"
"No. 99","train1","1486","T"
"No. 100","train1","1487","T"
"No. 101","train1","1488","P"
"No. 102","train1","1489","T"
"No. 103","train1","1491","T"
"No. 104","train1","1492","T"
"No. 105","train1","1493","T"
"No. 106","train1","1494","T"
"No. 107","train1","1495","T"
"No. 108","train1","1496","T"
"No. 109","train1","1497","T"
"No. 110","train1","1498","T"
"No. 111","train1","1499","T"
"No. 112","train1","1500","T"
"No. 113","train1","1501","T"
"No. 114","train1","1502","T"
"No. 115","train1","1503","T"
"No. 116","train1","1504","T"
"No. 117","train1","1505","T"
"No. 118","train1","1507","P"
"No. 119","train1","1508","T"
"No. 120","train1","1509","T"
"No. 121","train1","1511","T"
"No. 122","train1","1512","T"
"No. 123","train1","1513","T"
"No. 124","train1","1514","T"
"No. 125","train1","1515","T"
"No. 126","train1","1516","T"
"No. 127","train1","1517","T"
"No. 128","train1","1518","T"
"No. 129","train1","1519","P"
"No. 130","train1","1520","T"
"No. 131","train1","1521","P"
"No. 132","train1","1522","T"
"No. 133","train1","1523","T"
"No. 134","train1","1524","T"
"No. 135","train1","1525","T"
"No. 136","train1","1526","T"
"No. 137","train1","1527","T"
"No. 138","train1","1529","T"
"No. 139","train1","1530","T"
"No. 140","train1","1531","T"
"No. 141","train1","1533","T"
"No. 142","train1","1534","T"
"No. 143","train1","1535","T"
"No. 144","train1","1536","T"
"No. 145","train1","1538","T"
"No. 146","train1","1540","T"
"No. 147","train1","1541","T"
"No. 148","train1","1542","T"
"No. 149","train1","1543","T"
"No. 150","train1","1544","T"
"No. 151","train1","1545","T"
"No. 152","train1","1546","T"
"No. 153","train1","1547","T"
"No. 154","train1","1548","T"
"No. 155","train1","1549","T"
"No. 156","train1","1550","T"
"No. 157","train1","1551","T"
"No. 158","train1","1553","T"
"No. 159","train1","1554","T"
"No. 160","train1","1555","T"
"No. 161","train1","1556","T"
"No. 162","train1","1557","T"
"No. 163","train1","1558","T"
"No. 164","train1","1559","T"
"No. 165","train1","1560","T"
"No. 166","train1","1562","T"
"No. 167","train1","1563","T"
"No. 168","train1","1565","T"
"No. 169","train1","1566","T"
"No. 170","train1","1567","T"
"No. 171","train1","1568","T"
"No. 172","train1","1570","T"
"No. 173","train1","1571","T"
"No. 174","train1","1572","T"
"No. 175","train1","1574","T"
"No. 176","train1","1575","T"
"No. 177","train1","1576","T"
"No. 178","train1","1577","T"
"No. 179","train1","1578","T"
"No. 180","train1","1580","T"
"No. 181","train1","1581","T"
"No. 182","train1","1582","T"
"No. 183","train1","1584","T"
"No. 184","train1","1585","T"
"No. 185","train1","1586","T"
"No. 186","train1","1587","T"
"No. 187","train1","1588","T"
"No. 188","train1","1589","T"
"No. 189","train1","1590","T"
"No. 190","train1","1591","T"
"No. 191","train1","1592","T"
"No. 192","train1","1593","T"
"No. 193","train1","1594","T"
"No. 194","train1","1595","T"
"No. 195","train1","1596","T"
"No. 196","train1","1597","T"
"No. 197","train1","1598","T"
"No. 198","train1","1599","T"
"No. 199","train1","1600","T"
"No. 200","train1","1601","T"
"No. 201","train1","1602","T"
"No. 202","train1","1604","T"
"No. 203","train1","1605","T"
"No. 204","train1","1606","T"
"No. 205","train1","1607","T"
"No. 206","train1","1608","T"
"No. 207","train1","1609","T"
"No. 208","train1","1610","T"
"No. 209","train1","1612","T"
"No. 210","train1","1613","T"
"No. 211","train1","1614","T"
"No. 212","train1","1615","T"
"No. 213","train1","1616","T"
"No. 214","train1","1617","T"
"No. 215","train1","1618","T"
"No. 216","train1","1619","T"
"No. 217","train1","1620","T"
"No. 218","train1","1621","T"
"No. 219","train1","1623","T"
"No. 220","train1","1624","T"
"No. 221","train1","1625","T"
"No. 222","train1","1626","T"
"No. 223","train1","1627","T"
"No. 224","train1","1628","T"
"No. 225","train1","1629","T"
"No. 226","train1","1630","T"
"No. 227","train1","1631","T"
"No. 228","train1","1632","T"
"No. 229","train1","1634","T"
"No. 230","train1","1635","T"
"No. 231","train1","1636","T"
"No. 232","train1","1637","T"
"No. 233","train1","1638","T"
"No. 234","train1","1639","T"
"No. 235","train1","1640","T"
"No. 236","train1","1641","T"
"No. 237","train1","1642","T"
"No. 238","train1","1643","T"
"No. 239","train1","1644","T"
"No. 240","train1","1645","T"
"No. 241","train1","1646","T"
"No. 242","train1","1647","T"
"No. 243","train1","1648","T"
"No. 244","train1","1649","T"
"No. 245","train1","1650","T"
"No. 246","train1","1651","T"
"No. 247","train1","1652","T"
"No. 248","train1","1653","T"
"No. 249","train1","1654","T"
"No. 250","train1","1656","T"
"No. 251","train1","1658","T"
"No. 252","train1","1659","T"
"No. 253","train1","1660","T"
"No. 254","train1","1661","T"
"No. 255","train1","1662","T"
"No. 256","train1","1663","T"
"No. 257","train1","1664","T"
"No. 258","train1","1665","T"
"No. 259","train1","1666","T"
"No. 260","train1","1667","T"
"No. 261","train1","1668","T"
"No. 262","train1","1669","T"
"No. 263","train1","1670","T"
"No. 264","train1","1671","T"
"No. 265","train1","1672","T"
"No. 266","train1","1673","T"
"No. 267","train1","1674","T"
"No. 268","train1","1675","T"
"No. 269","train1","1677","T"
"No. 270","train1","1678","T"
"No. 271","train1","1679","T"
"No. 272","train1","1680","T"
"No. 273","train1","1681","T"
"No. 274","train1","1682","T"
"No. 275","train1","1683","T"
"No. 276","train1","1684","T"
"No. 277","train1","1685","T"
"No. 278","train1","1686","T"
"No. 279","train1","1688","T"
"No. 280","train1","1689","T"
"No. 281","train1","1690","T"
"No. 282","train1","1691","T"
"No. 283","train1","1692","T"
"No. 284","train1","1694","T"
"No. 285","train1","1695","T"
"No. 286","train1","1696","T"
"No. 287","train1","1697","T"
"No. 288","train1","1698","T"
"No. 289","train1","1699","T"
"No. 290","train1","1700","T"
"No. 291","train1","1701","T"
"No. 292","train1","1702","T"
"No. 293","train1","1703","T"
"No. 294","train1","1704","T"
"No. 295","train1","1705","T"
"No. 296","train1","1706","T"
"No. 297","train1","1707","P"
"No. 298","train1","1708","T"
"No. 299","train1","1709","T"
"No. 300","train1","1710","T"
"No. 301","train1","1711","T"
"No. 302","train1","1712","T"
"No. 303","train1","1713","T"
"No. 304","train1","1714","T"
"No. 305","train1","1715","T"
"No. 306","train1","1716","T"
"No. 307","train1","1717","T"
"No. 308","train1","1718","T"
"No. 309","train1","1719","T"
"No. 310","train1","1720","T"
"No. 311","train1","1721","T"
"No. 312","train1","1722","T"
"No. 313","train1","1723","T"
"No. 314","train1","1724","T"
"No. 315","train1","1725","T"
"No. 316","train1","1726","T"
"No. 317","train1","1727","T"
"No. 318","train1","1728","T"
"No. 319","train1","1729","T"
"No. 320","train1","1730","T"
"No. 321","train1","1732","T"
